id	title	year	venue	language	RQs	relevance	score	decision	reason
tamascelli_academic_2025	Academic {Advising} {Chatbot} {Powered} with {AI} {Agent}	2025				Excluir	0.0	Maybe	Ambiguo sin abstract
quinn_accelerating_2025	Accelerating {Retrieval}-{Augmented} {Generation}	2025	International {Conference} on {Architectural} {Support} for {Programming} {Languages} and {Operating} {Systems} - {ASPLOS}			Excluir	0.0	Maybe	Ambiguo sin abstract
zhang_survey_2025	A {Survey} of {Theory} {Foundation} and {Key} {Technology} in {Large} {Models}	2025				Excluir	0.0	Maybe	Ambiguo sin abstract
sun_adaptive_2024	Adaptive {In}-{Context} {Learning} with {Large} {Language} {Models} for {Bundle} {Generation}	2024				Excluir	0.0	Maybe	Ambiguo sin abstract
shi_amsnet-kg_2025	{AMSnet}-{KG}: {A} {Netlist} {Dataset} for {LLM}-based {AMS} {Circuit} {Auto}-design {Using} {Knowledge} {Graph} {RAG}	2025	ACM Trans. Des. Autom. Electron. Syst.		RQ2	Baja	1.0	Include	Factualidad/alucinaciones
zhang_survey_2025-1	A {Survey} on the {Memory} {Mechanism} of {Large} {Language} {Model}-based {Agents}	2025	ACM Trans. Inf. Syst.		RQ3,RQ4	Baja	1.0	Include	XAI/calibración y Métricas/metodologías
deng_ai_2025	{AI} {Agents} {Under} {Threat}: {A} {Survey} of {Key} {Security} {Challenges} and {Future} {Pathways}	2025	ACM Comput. Surv.			Excluir	0.0	Exclude	No trata RAG ni RQs
lu_adda_2025	Adda: {Towards} {Efficient} in-{Database} {Feature} {Generation} via {LLM}-based {Agents}	2025	Proc. ACM Manag. Data		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
qiang_agent-om_2024	Agent-{OM}: {Leveraging} {LLM} {Agents} for {Ontology} {Matching}	2024	Proc. VLDB Endow.		RQ4	Baja	1.0	Include	Métricas/metodologías
huang_survey_2025	A {Survey} on {Hallucination} in {Large} {Language} {Models}: {Principles}, {Taxonomy}, {Challenges}, and {Open} {Questions}	2025	ACM Trans. Inf. Syst.		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
mo_survey_2025	A {Survey} of {Conversational} {Search}	2025	ACM Trans. Inf. Syst.		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
