old_key,new_key
pan_survey_2025,pan_survey_2025-1
fan_towards_2025,fan_towards_2025-1
wang_hierarchical_2025,wang_hierarchical_2025-1
zhou_research_2024,zhou_research_2024-1
xu_automated_2024,xu_automated_2024-1
li_tutorllm_2025,li_tutorllm_2025-1
zhao_empirical_2024,zhao_empirical_2024-1
zeng_federated_2024,zeng_federated_2024-1
guan_mfort-qa_2024,guan_mfort-qa_2024-1
chen_knowledge_2025,chen_knowledge_2025-1
xu_generative_2025,xu_generative_2025-1
fink_retrieval-augmented_2025,fink_retrieval-augmented_2025-1
liu_improving_2025,liu_improving_2025-2
matsumoto_escargot_2025,matsumoto_escargot_2025-1
liu_enhancing_2025,liu_enhancing_2025-1
shen_large_2025,shen_large_2025-1
zhou_ihillm-rag_2025,zhou_ihillm-rag_2025-1
jauhiainen_evaluating_2024,jauhiainen_evaluating_2024-1
islam_open-rag_2024,islam_open-rag_2024-1
agrawal_scmrag_2025,agrawal_scmrag_2025-1
wang_scholarcopilot_2025,wang_scholarcopilot_2025-1
hindi_enhancing_2025,hindi_enhancing_2025-1
li_enhancing_2025,li_enhancing_2025-1
pelletier_evidence-based_2025,pelletier_evidence-based_2025-1
kamra_evaluating_2025,kamra_evaluating_2025-1
deng_cram_2025,deng_cram_2025-1
das_two-layer_2025,das_two-layer_2025-1
vungarala_tpu-gen_2025,vungarala_tpu-gen_2025-1
yang_timerag_2025,yang_timerag_2025-1
sheng_talk2traffic_2025,sheng_talk2traffic_2025-1
zhang_survey_2025,zhang_survey_2025-3
barron_domain-specific_2024,barron_domain-specific_2024-1
asai_self-rag_2023,asai_self-rag_2023-1
barnett_seven_2024,barnett_seven_2024-1
bora_systematic_2024,bora_systematic_2024-1
wang_what_2025,wang_what_2025-1
mortaheb_rag-check_2025,mortaheb_rag-check_2025-1
wang_retrieval-augmented_2025,wang_retrieval-augmented_2025-1
berman_retrieval_2025,berman_retrieval_2025-1
zhu_radio_2025,zhu_radio_2025-1
zhang_ratt_2025,zhang_ratt_2025-1
mohsin_retrieval_2025,mohsin_retrieval_2025-1
grislain_rag_2025,grislain_rag_2025-1
li_enhancing_2024,li_enhancing_2024-1
lee_enhancing_2024,lee_enhancing_2024-1
gummadi_enhancing_2024,gummadi_enhancing_2024-1
darji_enhancing_2024,darji_enhancing_2024-1
church_emerging_2024,church_emerging_2024-1
chen_controlling_2024,chen_controlling_2024-1
li_citation-enhanced_2024,li_citation-enhanced_2024-1
miao_integrating_2024,miao_integrating_2024-1
zimmerman_two-tiered_2024,zimmerman_two-tiered_2024-1
suresh_towards_2024,suresh_towards_2024-1
agrawal_mindful-rag_2024,agrawal_mindful-rag_2024-1
qi_model_2024,qi_model_2024-1
bei_manufacturing_2024,bei_manufacturing_2024-1
wu_multirag_2025,wu_multirag_2025-1
he_retrieving_2024,he_retrieving_2024-1
feldman_ragged_2024,feldman_ragged_2024-1
toukmaji_retrieval-augmented_2024,toukmaji_retrieval-augmented_2024-1
hasegawa_rag_2024,hasegawa_rag_2024-1
joshi_robust_2024,joshi_robust_2024-1
bernardi_report_2024,bernardi_report_2024-1
pan_raglog_2024,pan_raglog_2024-1
kulkarni_reinforcement_2024,kulkarni_reinforcement_2024-1
sundar_revolutionizing_2024,sundar_revolutionizing_2024-1
han_automating_2024,han_automating_2024-1
shi_ask-eda_2024,shi_ask-eda_2024-1
yadav_aeroquery_2024,yadav_aeroquery_2024-1
sung_new_2024,sung_new_2024-1
li_alleviating_2024,li_alleviating_2024-1
zhang_arl2_2024,zhang_arl2_2024-1
dong_survey_2024,dong_survey_2024-1
liu_how_2024,liu_how_2024-1
chen_benchmarking_2024,chen_benchmarking_2024-1
knollmeyer_benchmarking_2024,knollmeyer_benchmarking_2024-1
zhang_hallucination_2025,zhang_hallucination_2025-1
anjum_halo_2025,anjum_halo_2025-1
ping_hdlcore_2025,ping_hdlcore_2025-1
liu_improving_2025,liu_improving_2025-3
hou_improving_2025,hou_improving_2025-1
lakatos_investigating_2025,lakatos_investigating_2025-1
islam_open-rag_2024,islam_open-rag_2024-2
zeng_federated_2024,zeng_federated_2024-2
tomkou_bridging_2025,tomkou_bridging_2025-1
wan_what_2024,wan_what_2024-1
jacobs_leveraging_2024,jacobs_leveraging_2024-1
smajic_large_2025,smajic_large_2025-1
wahidur_legal_2025,wahidur_legal_2025-1
wang_large_2025,wang_large_2025-1
liu_detecting_2025,liu_detecting_2025-1
kang_prompt-rag_2024,kang_prompt-rag_2024-1
bilal_onrl-rag_2025,bilal_onrl-rag_2025-1
jain_mitigating_2025,jain_mitigating_2025-1
