key,status,old_chars,new_chars,lang,model
tamascelli_academic_2025,enriched,0,1108,en,x-ai/grok-4-fast
quinn_accelerating_2025,enriched,0,930,en,x-ai/grok-4-fast
zhang_survey_2025,enriched,0,1163,en,x-ai/grok-4-fast
sun_adaptive_2024,enriched,0,829,en,x-ai/grok-4-fast
shi_amsnet-kg_2025,fetched,87,1693,en,crossref
zhang_survey_2025-1,fetched,150,1358,en,crossref
deng_ai_2025,fetched,169,1065,en,crossref
lu_adda_2025,fetched,327,1358,en,crossref
huang_survey_2025,fetched,120,1481,en,crossref
mo_survey_2025,fetched,45,1528,en,crossref
wang_comprehensive_2025,fetched,84,2019,en,crossref
joel_survey_2025,fetched,125,2957,en,crossref
zhang_survey_2025-2,fetched,77,1271,en,crossref
bui_systematic_2024,fetched,97,769,en,crossref
pan_survey_2025,fetched,72,1090,en,crossref
shi_survey_2025,fetched,56,632,en,crossref
qin_ai-based_2025,fetched,97,1344,en,crossref
naveed_comprehensive_2025,fetched,291,1355,en,crossref
israelsen_good_2025,fetched,322,1697,en,crossref
jiang_survey_2025,enriched,100,1225,en,x-ai/grok-4-fast
chau_is_2025,fetched,231,623,en,crossref
zhang_systematic_2025,fetched,117,1006,en,crossref
fu_ai_2025,fetched,153,1709,en,crossref
yu_survey_2022,fetched,118,1283,en,crossref
barbosa_cost-effective_2025,fetched,52,1812,en,crossref
li_structure-aware_2025,fetched,36,1214,en,crossref
prakash_all_2024,fetched,113,1473,en,crossref
ibrahimzada_alphatrans_2025,fetched,298,2288,en,crossref
srba_survey_2025,fetched,44,1889,en,crossref
schoeffer_ai_2025,fetched,30,1147,en,crossref
ye_gradual_2023,fetched,75,1651,en,crossref
metzger_user_2024,fetched,223,1304,en,crossref
baumer_algorithmic_2024,fetched,505,1088,en,crossref
cai_after_2021,fetched,155,1022,en,crossref
meylan_study_2020,fetched,272,1628,en,crossref
hamed_comparison_2025,fetched,129,1504,en,crossref
irrera_novel_2023,fetched,18,1769,en,crossref
xu_generative_2024,enriched,66,683,en,x-ai/grok-4-fast
feng_response_2025,enriched,124,1097,en,x-ai/grok-4-fast
prahlad_personalizing_2025,enriched,8,1001,en,x-ai/grok-4-fast
salemi_evaluating_2024,enriched,54,921,en,x-ai/grok-4-fast
jin_flashrag_2025,enriched,92,1363,en,x-ai/grok-4-fast
xu_rallrec_2025,enriched,283,1495,en,x-ai/grok-4-fast
wang_r3ag_2024,enriched,312,941,en,x-ai/grok-4-fast
sudhi_rag-ex_2024,enriched,61,942,en,x-ai/grok-4-fast
lin_raccoon_2025,enriched,102,1031,en,x-ai/grok-4-fast
xu_retrieval-augmented_2024,enriched,185,1073,en,x-ai/grok-4-fast
kaiser_preference-based_2025,enriched,69,859,en,x-ai/grok-4-fast
xu_rlg-rag_2025,enriched,23,725,en,x-ai/grok-4-fast
yang_cascadercg_2025,enriched,79,660,en,x-ai/grok-4-fast
zhou_navigating_2025,enriched,88,1043,en,x-ai/grok-4-fast
siro_llm4eval_2025,enriched,329,916,en,x-ai/grok-4-fast
huang_paracoder_2025,enriched,193,1022,en,x-ai/grok-4-fast
rahmani_llm4eval_2024,enriched,296,834,en,x-ai/grok-4-fast
